FECHA,Temp_Ponderada_MAX,Temp_Ponderada_MIN
2023-07-29,32.12,20.78
2023-07-30,32.21,21.55
2023-07-31,31.99,21.16
2023-08-01,32.62,21.54
2023-08-02,32.83,21.51
2023-08-03,29.07,20.09
2023-08-04,27.85,16.97
2023-08-05,30.47,16.86
2023-08-06,30.14,19.0
2023-08-07,30.67,18.86
2023-08-08,32.73,20.29
2023-08-09,33.47,21.62
2023-08-10,34.02,22.53
2023-08-11,33.97,21.38
2023-08-12,32.48,21.74
2023-08-13,32.36,21.62
2023-08-14,32.29,21.09
2023-08-15,32.38,20.72
2023-08-16,31.82,20.81
2023-08-17,32.32,21.07
2023-08-18,32.23,21.36
2023-08-19,33.1,21.66
2023-08-20,34.81,22.09
2023-08-21,36.32,23.39
2023-08-22,35.94,23.36
2023-08-23,36.9,23.98
2023-08-24,35.4,23.56
2023-08-25,33.25,22.64
2023-08-26,30.29,20.22
2023-08-27,25.62,16.25
2023-08-28,28.85,15.85
2023-08-29,27.62,16.69
2023-08-30,26.86,16.67
2023-08-31,28.26,17.05
2023-09-01,28.88,17.71
2023-09-02,24.91,18.5
2023-09-03,25.45,18.56
2023-09-04,27.96,20.12
2023-09-05,28.31,19.25
2023-09-06,28.61,19.08
2023-09-07,28.73,18.9
2023-09-08,28.42,18.32
2023-09-09,27.77,18.41
2023-09-10,28.39,18.26
2023-09-11,26.69,17.87
2023-09-12,27.45,18.35
2023-09-13,27.81,17.82
2023-09-14,28.26,18.37
2023-09-15,25.78,17.94
2023-09-16,25.83,17.55
2023-09-17,25.46,18.07
2023-09-18,25.94,18.03
2023-09-19,25.49,16.02
2023-09-20,25.16,15.57
2023-09-21,24.23,16.12
2023-09-22,23.85,14.68
2023-09-23,23.94,12.59
2023-09-24,26.24,13.38
2023-09-25,27.16,14.51
2023-09-26,26.97,15.21
2023-09-27,27.38,15.91
2023-09-28,28.02,16.33
2023-09-29,29.33,16.92
2023-09-30,30.54,17.35
2023-10-01,30.07,16.94
2023-10-02,28.85,16.42
2023-10-03,28.0,16.39
2023-10-04,28.3,17.39
2023-10-05,28.46,16.56
2023-10-06,29.14,16.52
2023-10-07,29.14,16.38
2023-10-08,28.72,15.46
2023-10-09,27.94,15.26
2023-10-10,27.3,14.36
2023-10-11,26.86,13.92
2023-10-12,27.11,14.12
2023-10-13,25.83,14.72
2023-10-14,24.37,15.86
2023-10-15,22.12,14.88
2023-10-16,21.47,15.68
2023-10-17,24.63,16.17
2023-10-18,24.03,16.96
2023-10-19,21.23,13.87
2023-10-20,19.67,12.47
2023-10-21,18.86,10.02
2023-10-22,18.81,9.82
2023-10-23,20.22,13.17
2023-10-24,18.53,11.46
2023-10-25,20.84,13.7
2023-10-26,21.52,14.56
2023-10-27,19.42,12.44
2023-10-28,20.48,12.72
2023-10-29,19.67,13.1
2023-10-30,18.59,11.17
2023-10-31,16.99,9.32
2023-11-01,18.46,9.95
2023-11-02,18.89,9.21
2023-11-03,16.12,8.84
2023-11-04,17.96,10.39
2023-11-05,17.15,10.19
2023-11-06,16.3,7.51
2023-11-07,14.57,5.34
2023-11-08,14.98,6.1
2023-11-09,16.52,9.53
2023-11-10,17.4,10.0
2023-11-11,18.58,12.2
2023-11-12,20.75,12.96
2023-11-13,21.36,12.03
2023-11-14,21.04,12.04
2023-11-15,18.57,11.92
2023-11-16,19.33,11.39
2023-11-17,18.32,10.44
2023-11-18,18.97,9.07
2023-11-19,18.65,8.11
2023-11-20,17.59,7.46
2023-11-21,15.21,8.25
2023-11-22,16.33,6.98
2023-11-23,15.78,4.58
2023-11-24,17.73,4.78
2023-11-25,15.96,4.95
2023-11-26,14.93,5.0
2023-11-27,14.58,5.7
2023-11-28,14.57,8.88
2023-11-29,15.13,10.39
2023-11-30,17.78,10.69
2023-12-01,14.93,7.36
2023-12-02,12.77,4.99
2023-12-03,11.59,2.6
2023-12-04,12.9,5.54
2023-12-05,11.25,4.75
2023-12-06,11.94,3.66
2023-12-07,12.75,4.17
2023-12-08,13.79,6.98
2023-12-09,15.45,6.63
2023-12-10,16.41,9.64
2023-12-11,17.47,9.58
2023-12-12,16.8,9.65
2023-12-13,14.11,7.64
2023-12-14,13.89,5.15
2023-12-15,15.34,4.82
2023-12-16,13.31,3.09
2023-12-17,12.3,0.97
2023-12-18,11.95,0.52
2023-12-19,13.19,1.09
2023-12-20,12.75,3.17
2023-12-21,14.28,3.43
2023-12-22,16.27,5.19
2023-12-23,14.22,3.91
2023-12-24,13.0,2.26
2023-12-25,12.55,0.94
2023-12-26,12.1,0.81
2023-12-27,12.22,0.64
2023-12-28,11.29,1.55
2023-12-29,11.22,3.93
2023-12-30,13.69,3.08
