Diario,Fest_AnhoNuevo,Fest_Reyes,Fest_SatSemSantaLMX,Fest_JuevesSanto,Fest_ViernesSanto,Fest_Trabajo,Fest_VirgenAgosto,Fest_Hispanidad,Fest_TodosLosSantos,Fest_Constitucion,Fest_Inmaculada,Fest_Nochebuena,Fest_Navidad,Fest_Findeanho,Fest_ComMadrid,Fest_SanJuan,Fest_Santiago,Fest_DiaCatalunya,Fest_Merce,Fest_SanIsidro
y2000m07d02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
y2000m07d26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y2000m07d30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
